Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,NAN
EPAA MOBILE,01/04/2023,00:00:00,13.05,,,14.55,,,47.11,,,,,,0.516,,,,,56.3,,,,,,,32.754,1010.4,73.16,320.81,1.206,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,01:00:00,8.85,,,21.59,,,36.97,,,,,,0.638,,,,,55.6,,,,,,,32.559,1010.3,74.99,104.77,0.774,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,01:59:59.990000,14.4,,,47.04,,,3.37,,,,,,0.971,,,,,61.3,,,,,,,32.35,1010.2,75.95,89.84,1.25,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,02:59:59.985000,13.47,,,33.59,,,3.35,,,,,,1.08,,,,,69.6,,,,,,,32.163,1010.0,77.46,73.0,1.019,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,03:59:59.980000,48.85,,,36.18,,,3.85,,,,,,0.775,,,,,70.5,,,,,,,31.884,1009.8,79.62,111.69,1.535,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,04:59:59.975000,8.95,,,26.77,,,3.19,,,,,,0.772,,,,,65.4,,,,,,,31.628,1010.0,81.63,124.84,1.676,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,05:59:59.970000,6.98,,,24.37,,,2.86,,,,,,0.831,,,,,70.0,,,,,,,31.422,1010.3,83.14,124.33,1.356,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,06:59:59.965000,7.09,,,24.99,,,3.85,,,,,,0.412,,,,,74.2,,,,,,,31.404,1010.6,83.99,101.32,1.081,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,07:59:59.960000,9.54,,,28.3,,,6.61,,,,,,0.58,,,,,73.5,,,,,,,31.928,1011.0,83.34,252.9,0.451,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,08:59:59.955000,9.06,,,31.54,,,26.18,,,,,,0.464,,,,,77.1,,,,,,,32.987,1011.5,74.73,176.23,1.127,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,09:59:59.950000,18.09,,,25.92,,,64.11,,,,,,0.136,,,,,71.1,,,,,,,34.379,1011.7,42.98,252.48,0.927,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,10:59:59.945000,19.87,,,29.22,,,74.92,,,,,,0.181,,,,,58.3,,,,,,,35.437,1011.7,25.65,286.82,1.656,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,11:59:59.940000,17.53,,,24.74,,,72.84,,,,,,0.284,,,,,63.2,,,,,,,35.661,1011.7,22.6,284.03,2.235,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,12:59:59.935000,28.15,,,18.91,,,96.26,,,,,,0.416,,,,,63.0,,,,,,,35.207,1011.5,37.26,283.16,3.146,,,,,,,,,,,,,
EPAA MOBILE,01/04/2023,13:59:59.930000,20.17,,,20.28,,,88.15,,,,,,0.386,,,,,65.8,,,,,,,34.486,1011.2,50.96,270.62,3.055,,,,,,,,,,,,,
